City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
514,banamba,13.55,-7.45,19.07,13,100,3.58,ML,1675220184
515,caravelas,-17.7125,-39.2481,23.79,85,95,1.78,BR,1675220185
516,okhotsk,59.3833,143.3,-17.02,94,100,5.72,RU,1675219832
517,ende,-8.8432,121.6623,28.5,79,100,0.48,ID,1675220185
518,kenai,60.5544,-151.2583,0.05,89,100,0.0,US,1675220185
519,sangar,63.9242,127.4739,-33.89,93,100,1.77,RU,1675219944
520,beidao,34.5686,105.8933,4.18,19,96,2.38,CN,1675220186
521,carberry,49.8689,-99.3602,-25.87,95,6,2.8,CA,1675220186
522,buchanan,5.8808,-10.0467,25.38,91,1,1.32,LR,1675220186
523,veraval,20.9,70.3667,19.89,46,70,7.67,IN,1675220187
524,arkhangelsk,64.5401,40.5433,-2.94,92,100,4.0,RU,1675220187
525,castro,-24.7911,-50.0119,17.36,98,100,1.11,BR,1675220187
526,boysun,38.2061,67.1986,4.56,73,100,3.74,UZ,1675220188
527,maragogi,-9.0122,-35.2225,25.05,83,54,3.13,BR,1675220188
528,zelenoborsk,61.4669,64.0333,-8.5,95,98,3.82,RU,1675220188
529,asfi,32.2994,-9.2372,12.49,71,100,4.84,MA,1675220118
530,shambu,9.5667,37.1,12.08,37,18,0.31,ET,1675220189
531,kargopol,61.5071,38.9456,-5.01,92,99,4.25,RU,1675219763
532,nowy targ,49.4778,20.0323,1.18,92,100,6.75,PL,1675220189
533,wageningen,51.9667,5.6667,7.25,81,75,5.14,NL,1675220190
534,hovd,48.0056,91.6419,-17.3,77,100,0.52,MN,1675220190
535,goderich,43.7501,-81.7165,-7.27,67,100,7.2,CA,1675219921
536,roma,43.2128,-75.4557,-7.8,76,75,0.0,US,1675219917
537,smithers,54.7804,-127.1743,-4.82,93,100,0.0,CA,1675219999
538,boyolangu,-8.1181,111.8935,29.1,66,97,1.38,ID,1675220190
539,meulaboh,4.1363,96.1285,25.83,74,100,1.67,ID,1675219960
540,portland,45.5234,-122.6762,3.56,67,0,0.45,US,1675220097
541,mahon,39.8885,4.2658,8.31,81,75,2.06,ES,1675220191
542,ruhengeri,-1.4998,29.635,13.17,78,65,0.74,RW,1675220191
543,quatre cocos,-20.2078,57.7625,25.06,76,100,5.95,MU,1675219813
544,port macquarie,-31.4333,152.9167,29.38,60,6,6.23,AU,1675220018
545,axim,4.8699,-2.2405,25.21,87,87,0.05,GH,1675219910
546,pabna,24.0,89.25,21.79,49,46,6.0,BD,1675220192
547,alexandria,31.2156,29.9553,14.49,61,24,11.54,EG,1675220161
